#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
1,Nick Pivetta,BOS,38.1,7.0, , , , , ,2.7, ,0.4, ,-1.9, , ,2,2022-05-01
2,Nestor Cortes,NYY,32.1,4.7, ,2.8, , ,-0.8,1.2, , , ,1.0, , ,2,2022-05-01
3,Triston McKenzie,CLE,34.0,4.7, , , , , ,1.7,0.9, , , , , ,2,2022-05-01
4,Ian Anderson,ATL,28.1,4.1, , , , , , ,-0.2, , ,-4.9, , ,2,2022-05-01
5,Shane McClanahan,TBR,31.1,3.9, , , , , ,-0.4,2.8, , ,2.8, , ,2,2022-05-01
6,Zack Wheeler,PHI,32.2,3.8, , , , ,0.9,1.8,0.6, , ,-0.1, , ,2,2022-05-01
7,Carlos Carrasco,NYM,30.0,3.4, , , , ,-1.0,-0.4,-0.9, , ,0.0, , ,2,2022-05-01
8,Luis Severino,NYY,29.0,3.4, ,-2.9, , , ,3.5, , , ,-2.1, , ,2,2022-05-01
9,Gerrit Cole,NYY,33.2,3.4, ,1.9, , , ,4.7, ,-1.8, ,-1.2, , ,2,2022-05-01
10,Jose Quintana,PIT,27.0,3.4, , , , ,1.2, ,2.2, , ,-2.1, , ,2,2022-05-01
11,Paul Blackburn,OAK,34.1,3.1, ,0.4, , ,0.3,-1.8,3.6, , ,-3.6, , ,2,2022-05-01
12,Kevin Gausman,TOR,36.1,3.0, , ,2.2, , ,0.0, , , ,-0.8, , ,2,2022-05-01
13,Yusei Kikuchi,TOR,26.2,2.8, ,0.1, , , ,0.9, , , ,2.2, , ,2,2022-05-01
14,Tarik Skubal,DET,31.0,2.7, , , , ,0.8,6.7, ,-3.5, ,1.1, , ,2,2022-05-01
15,Jameson Taillon,NYY,31.1,2.7, ,-0.6, , ,-0.5,0.9,0.6, , ,2.6, , ,2,2022-05-01
16,Michael Lorenzen,LAA,32.2,2.6, ,-1.0, , ,4.0,1.3, , , ,-0.6, , ,2,2022-05-01
17,Charlie Morton,ATL,31.1,2.3, ,0.8, , ,-0.1, ,-3.4, , ,0.4, , ,2,2022-05-01
18,Dylan Cease,CHW,31.2,2.0, , , , ,0.6,4.9, ,-6.1, ,-1.7, , ,2,2022-05-01
19,Frankie Montas,OAK,35.0,1.8, ,0.9,-0.5, ,3.8,1.1, , , , , , ,2,2022-05-01
20,Aaron Nola,PHI,33.0,1.8, ,-1.5, , ,3.3, , ,1.6, ,-0.5, , ,2,2022-05-01
21,Drew Rasmussen,TBR,28.2,1.4, ,2.4, , , ,-1.7,0.0, , , , , ,2,2022-05-01
22,Julio Urias,LAD,35.0,1.3, , , , ,0.3, ,-1.3, , ,-2.6, , ,2,2022-05-01
23,Framber Valdez,HOU,43.0,1.3, ,1.0, , ,-0.7, ,5.6, , ,2.4, , ,2,2022-05-01
24,Martin Perez,TEX,42.1,1.3, ,6.4, , ,2.5, ,-1.9, , ,5.7, , ,2,2022-05-01
25,Logan Gilbert,SEA,36.2,1.3, , , , , ,0.4, ,0.5, ,1.0, , ,2,2022-05-01
26,Jordan Lyles,BAL,37.0,1.0, , , , ,0.3,-1.8,1.4, , ,0.9, , ,2,2022-05-01
27,Miles Mikolas,STL,31.0,0.8, , , , ,0.4,1.1,-0.3, , ,-1.3, , ,2,2022-05-01
28,Justin Verlander,HOU,31.2,0.8, , , , , ,0.7,3.0, , ,0.4, , ,2,2022-05-01
29,Ranger Suarez,PHI,29.2,0.7, ,-0.5, , ,2.4,-2.0,-0.7, , ,-3.0, , ,2,2022-05-01
30,Pablo Lopez,MIA,35.2,0.6, ,-0.8, , ,-1.6, ,-0.1, , ,3.8, , ,2,2022-05-01
