#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
31,Shane Bieber,CLE,33.1,2.0, ,1.5, , , ,2.5, ,1.3, ,0.3, , ,5,2022-08-01
32,Freddy Peralta,MIL,29.2,1.9, , , , , ,-0.4,3.4, , ,2.1, , ,5,2022-08-01
33,Dylan Cease,CHW,30.1,1.7, , , , , ,3.1, ,0.8, ,0.0, , ,5,2022-08-01
34,Tyler Anderson,LAD,37.1,1.5, ,3.8, , ,0.3, ,0.0, , ,0.5, , ,5,2022-08-01
35,German Marquez,COL,31.0,1.4, , , , ,-0.4,-2.6, ,3.0, ,-0.8, , ,5,2022-08-01
36,Cristian Javier,HOU,32.0,1.2, , , , , ,6.0, ,-0.3, ,-0.8, , ,5,2022-08-01
37,Yu Darvish,SDP,33.1,1.2, ,-2.3,0.8, ,-0.8,3.5,-0.1,0.1, , , , ,5,2022-08-01
38,Domingo German,NYY,34.2,1.2, , , , ,1.7, ,1.8, , ,2.3, , ,5,2022-08-01
39,Patrick Sandoval,LAA,32.1,1.0, , , , ,2.9,4.4,1.2, , ,0.2, , ,5,2022-08-01
40,Martin Perez,TEX,34.0,0.8, ,-0.9, , ,1.4,0.6,-1.0, , ,-4.2, , ,5,2022-08-01
41,Jameson Taillon,NYY,31.2,0.7, ,1.5, , ,-2.4,-0.4,2.8, , ,-2.3, , ,5,2022-08-01
42,Cal Quantrill,CLE,38.0,0.7, ,7.4, , ,1.3, ,1.9, , ,0.0, , ,5,2022-08-01
43,Aaron Nola,PHI,32.0,0.7, ,-0.4, , ,1.9, , ,2.1, ,-0.3, , ,5,2022-08-01
44,Jeffrey Springs,TBR,27.2,0.5, , , , ,1.3,2.3, , , ,1.1, , ,5,2022-08-01
45,Edward Cabrera,MIA,28.1,0.1, , , , ,1.1,1.5,3.0, , ,2.6, , ,5,2022-08-01
46,Jesus Luzardo,MIA,36.1,0.1, , , , ,2.3, ,-0.4, , ,7.6, , ,5,2022-08-01
47,Marcus Stroman,CHC,34.0,0.1, ,-2.0,-0.7, ,2.3,1.0,-0.7, , , , , ,5,2022-08-01
48,Logan Webb,SFG,35.0,0.1, , , , ,2.8,-4.2, , , ,1.2, , ,5,2022-08-01
49,Tyler Alexander,DET,30.2,0.0, ,-4.9, , ,0.9,0.6, , , ,0.4, , ,5,2022-08-01
50,Brady Singer,KCR,37.0,0.0, , , , ,1.5,1.8, , , ,0.6, , ,5,2022-08-01
51,Corbin Burnes,MIL,33.2,-0.2, ,4.5, , ,-0.5,-1.7,-0.9, , ,-1.7, , ,5,2022-08-01
52,Mike Minor,CIN,33.0,-0.2, , , , ,0.2,-2.2, ,-2.7, ,1.1, , ,5,2022-08-01
53,Charlie Morton,ATL,30.1,-0.2, ,-1.9, , ,0.0, ,5.1, , ,0.5, , ,5,2022-08-01
54,Framber Valdez,HOU,35.1,-0.2, ,2.6, , ,1.6, ,2.5, , ,-0.4, , ,5,2022-08-01
55,Spenser Watkins,BAL,30.2,-0.4, ,-2.0, , , ,4.5,-0.7, , ,0.3, , ,5,2022-08-01
56,Tommy Henry,ARI,31.2,-0.5, , , , ,0.0,-0.7,0.0, , ,0.1, , ,5,2022-08-01
57,Miles Mikolas,STL,36.0,-0.7, , , , ,-1.0,-3.9,0.5, , ,2.1, , ,5,2022-08-01
58,Kyle Bradish,BAL,28.2,-0.7, , , , , ,0.0,1.6, , ,1.0, , ,5,2022-08-01
59,Adam Oller,OAK,29.2,-0.7, ,3.6, , , ,0.7,-1.3, , ,0.4, , ,5,2022-08-01
60,Luis Garcia,HOU,29.0,-0.7, ,1.2, , ,0.5,-0.7,-0.3, , ,-1.9, , ,5,2022-08-01
