#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
61,Kyle Gibson,PHI,31.1,-0.9, ,4.0, , ,-1.5,3.2,-1.8, , ,0.1, , ,5,2022-08-01
62,Adam Wainwright,STL,39.2,-0.9, ,4.9, , ,0.6, ,2.6, , ,-0.2, , ,5,2022-08-01
63,Sandy Alcantara,MIA,36.1,-1.1, , , , ,3.7,-0.7,0.2, , ,2.9, , ,5,2022-08-01
64,Noah Syndergaard,PHI,30.2,-1.2, , , , ,0.5,0.7,-0.6, , ,-0.3, , ,5,2022-08-01
65,Nick Lodolo,CIN,28.2,-1.2, , , , ,3.5, ,-0.6, , ,-0.7, , ,5,2022-08-01
66,James Kaprielian,OAK,29.0,-1.4, , , , ,-0.1,-2.7,-0.7, , ,-2.7, , ,5,2022-08-01
67,Corey Kluber,TBR,29.2,-1.6, ,1.7, , ,0.1, ,-5.0, , ,0.7, , ,5,2022-08-01
68,Brandon Woodruff,MIL,30.0,-1.6, , , , ,0.0,1.1,1.7, , ,0.0, , ,5,2022-08-01
69,Lucas Giolito,CHW,31.2,-2.1, , , , , ,-1.1,0.0, , ,-1.1, , ,5,2022-08-01
70,Anibal Sanchez,WSN,30.2,-2.1, ,1.9, , ,3.2,-2.3,-1.4, , ,0.6, , ,5,2022-08-01
71,Jose Urena,COL,29.0,-2.9, , , , ,-4.0,-0.3, , , ,-1.6, , ,5,2022-08-01
72,Kyle Wright,ATL,32.0,-2.9, , , , ,3.9,0.5,3.6, , ,1.5, , ,5,2022-08-01
73,Chris Bassitt,NYM,33.1,-2.9, ,1.9, , ,3.4,1.3,2.5, , ,-0.9, , ,5,2022-08-01
74,Marco Gonzales,SEA,33.2,-3.2, ,-0.8, , , , ,-1.4, , ,-1.1, , ,5,2022-08-01
75,Ryan Feltner,COL,30.0,-3.2, , , , ,-0.5,-1.9,-0.7, , ,-0.9, , ,5,2022-08-01
76,Jordan Lyles,BAL,34.0,-3.2, ,-0.8, , ,-0.4,3.4,-1.1, , ,0.3, , ,5,2022-08-01
77,Nick Pivetta,BOS,28.2,-4.0, , , , , ,3.7, ,0.3, ,0.0, , ,5,2022-08-01
78,Kutter Crawford,BOS,29.2,-8.0, ,-1.2, , , ,0.1,-3.3, , ,0.9, , ,5,2022-08-01
79,Kris Bubic,KCR,31.0,-8.5, , , , , , ,0.2, , ,-0.4, , ,5,2022-08-01
80,Alex Cobb,SFG,29.0, , , ,1.2, ,1.0, , ,-0.6, , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, , ,1.6, , ,4.2, , ,0.8, , , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, , ,-0.2, , ,-0.1,-0.4,0.3, , ,0.8, , ,5,2022-08-01
83,Alex Wood,SFG,30.0, , , , , ,-0.1,-2.5, , , ,-2.7, , ,5,2022-08-01
