#,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,MonthSeason,MonthYear
61,Aaron Ashby,MIL,25.2,-1.2, , , , ,-0.4,-0.5,-0.7, , ,-0.4, , ,4,7
62,Jordan Montgomery,NYY,29.1,-1.3, ,-2.1, , ,2.6, ,-1.5, , ,0.2, , ,4,7
63,Jon Gray,TEX,30.1,-1.6, , , , , ,3.0,0.5, , ,-0.5, , ,4,7
64,Zac Gallen,ARI,29.2,-1.7, ,1.0, , , , , ,4.2, ,1.8, , ,4,7
65,Carlos Carrasco,NYM,30.0,-1.7, , , , ,0.5,5.5,0.2, , ,0.6, , ,4,7
66,Pablo Lopez,MIA,31.0,-1.7, ,-0.9, , ,-0.5, ,1.3, , ,1.5, , ,4,7
67,Tyler Wells,BAL,25.0,-1.8, , , , , ,0.4,-0.3, , ,-2.0, , ,4,7
68,German Marquez,COL,31.2,-2.2, , , , ,0.0,-0.5, ,4.4, ,0.3, , ,4,7
69,Brad Keller,KCR,28.2,-2.2, , , , ,1.1,3.8, , , ,-0.2, , ,4,7
70,Kyle Wright,ATL,30.2,-2.3, , , , ,2.1,-0.1,2.6, , ,-1.5, , ,4,7
71,Shohei Ohtani,LAA,25.1,-2.6, ,1.8,1.0, ,0.0,4.0,-1.4, , , , , ,4,7
72,Blake Snell,SDP,25.2,-2.7, , , , , ,2.0,1.6, , ,0.1, , ,4,7
73,Andre Pallante,STL,26.1,-3.4, , , , ,-2.2,2.8,-1.0, , ,0.1, , ,4,7
74,Patrick Sandoval,LAA,24.2,-3.5, , , , ,1.5,0.3,-0.3, , ,-1.7, , ,4,7
75,Austin Gomber,COL,27.1,-3.7, , , , , ,0.0, ,1.3, ,0.8, , ,4,7
76,Josiah Gray,WSN,26.2,-6.0, , , , , ,1.5,-1.0, , ,-3.1, , ,4,7
77,Dylan Cease,CHW,35.2,-6.3, , , , , ,10.8, ,1.1, ,0.5, , ,4,7
78,Alex Cobb,SFG,36.0, , , ,3.1, ,3.2, , ,0.2, , , , ,4,7
79,Sean Manaea,SDP,25.0, , , , , ,-3.1,-3.8, , , ,-2.5, , ,4,7
80,Corbin Burnes,MIL,31.1, , ,4.3, , ,-1.8,1.3,2.0, , ,1.2, , ,4,7
