#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Nick Pivetta,BOS,40.0,11.0, ,4.6, , ,-0.2,-11.4, , , ,3,6
2,Triston McKenzie,CLE,29.1,10.7, , , , ,4.4,-4.8, , , ,3,6
3,Tyler Wells,BAL,26.0,10.4, , , ,6.6,3.2,-7.1, , , ,3,6
4,Dylan Cease,CHW,27.1,10.2, ,7.5, , ,-0.4,-10.8, , , ,3,6
5,Justin Verlander,HOU,39.2,10.2, , , ,4.5,2.1,-6.9, , , ,3,6
6,Jose Urquidy,HOU,29.1,10.2,4.7, , ,6.4,-0.9,-10.3, , , ,3,6
7,Lucas Giolito,CHW,27.0,9.9, , , ,6.1,0.1,-8.2, , , ,3,6
8,Chris Flexen,SEA,33.0,9.9,3.3, , ,3.5,-0.9,-9.9, , , ,3,6
9,Gerrit Cole,NYY,29.2,9.9,4.3, , ,4.7,-0.5,-8.1, , , ,3,6
10,Zach Plesac,CLE,30.0,9.8, , , ,6.0,3.1,-6.1, , , ,3,6
11,Jameson Taillon,NYY,33.1,9.8,6.8, ,7.8,5.1,1.8,-6.9, , , ,3,6
12,Tyler Anderson,LAD,28.1,9.8,4.7, ,5.0,4.7, ,-4.8, , , ,3,6
13,Michael Wacha,BOS,29.2,9.7,4.8, ,8.0,6.2, ,-6.3, , , ,3,6
14,Ross Stripling,TOR,28.1,9.7, , ,7.6,4.7,2.9,-7.7, , , ,3,6
15,Tony Gonsolin,LAD,29.0,9.7, ,1.2, , ,2.6,-7.4, , , ,3,6
16,Tyler Mahle,CIN,33.2,9.7,4.5,5.4, , ,-0.1, , , , ,3,6
17,Rich Hill,BOS,27.0,9.7,4.4, ,3.1,4.8,-0.9,-8.8,-7.6, , ,3,6
18,Robbie Ray,SEA,37.0,9.6, , ,6.3,6.7,3.6,-0.9, , , ,3,6
19,Zac Gallen,ARI,25.2,9.5,3.6, , ,2.0,0.6,-8.1, , , ,3,6
20,Luis Garcia,HOU,27.2,9.5,2.6, , ,5.1,-2.5,-6.1, , , ,3,6
21,Logan Gilbert,SEA,35.2,9.5, , , ,4.2,2.4,-6.6, , , ,3,6
22,Jeffrey Springs,TBR,26.2,9.4, , , ,3.1,2.6, , , , ,3,6
23,Carlos Rodon,SFG,36.0,9.4, , , ,4.6,-1.2,-7.9, , , ,3,6
24,Shane McClanahan,TBR,33.0,9.4, , , ,5.1,0.7,-7.8, , , ,3,6
25,Beau Brieske,DET,27.1,9.3, , ,7.0,6.2,3.0,-4.6, , , ,3,6
26,Taijuan Walker,NYM,37.2,9.3,5.5,0.4,6.8, ,2.7,-7.3, , , ,3,6
27,Keegan Thompson,CHC,27.1,9.2,4.3, ,6.6,4.3,-0.4,-8.0, , , ,3,6
28,Luis Severino,NYY,30.0,9.1,3.3, ,6.6,4.7,-2.2, , , , ,3,6
29,Shane Bieber,CLE,37.1,9.1,3.9, , ,2.6,0.5,-6.9, , , ,3,6
30,Dane Dunning,TEX,33.2,9.0,4.3, ,1.9,1.4,-2.8, , , , ,3,6
