#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Nick Pivetta,BOS,38.1,11.1, ,3.8, , ,3.0,-12.5, , , ,2,5
2,Triston McKenzie,CLE,34.0,10.8, , , , ,5.5,-5.6, , , ,2,5
3,Tyler Wells,BAL,30.2,10.6, , , ,6.8,2.0,-7.1, , , ,2,5
4,Nestor Cortes,NYY,32.1,10.3,3.8, , ,3.5,1.7, , , , ,2,5
5,Tyler Anderson,LAD,32.0,10.2,5.1, ,3.6,4.8, ,-6.7, , , ,2,5
6,Dylan Cease,CHW,31.2,10.2, ,7.8, , ,-0.9,-11.7, , , ,2,5
7,Gerrit Cole,NYY,33.2,10.1,4.4, , ,5.0,-0.3,-8.3, , , ,2,5
8,Zach Plesac,CLE,28.0,10.1, , , ,6.2,2.8,-6.4, , , ,2,5
9,Zac Gallen,ARI,35.1,10.0,3.7, ,7.6,1.3,-0.1,-7.5, , , ,2,5
10,Carlos Rodon,SFG,27.0,9.9, , , , ,-1.4,-8.7, , , ,2,5
11,Justin Verlander,HOU,31.2,9.9, , , ,7.0,2.0,-7.4, , , ,2,5
12,Jameson Taillon,NYY,31.1,9.7,5.8, ,7.4,5.2,0.8,-7.3, , , ,2,5
13,Lucas Giolito,CHW,28.1,9.6, , , ,5.6,-0.4,-7.8, , , ,2,5
14,Robbie Ray,SEA,30.1,9.6, , , , ,3.1,-1.1, , , ,2,5
15,Josiah Gray,WSN,31.1,9.4, , ,6.8,4.6,1.9,-4.1, , , ,2,5
16,Shane Bieber,CLE,24.1,9.4,7.6, , ,4.0,1.7,-7.5, , , ,2,5
17,Tyler Mahle,CIN,31.1,9.4,3.2,4.2, , ,-0.7,-3.7, , , ,2,5
18,Yusei Kikuchi,TOR,26.2,9.4,9.0, , ,3.7,2.2, , , , ,2,5
19,Logan Gilbert,SEA,36.2,9.3, , , ,3.1,2.2,-6.7, , , ,2,5
20,Julio Urias,LAD,35.0,9.3, , , ,3.6, ,-0.8, , , ,2,5
21,Luis Severino,NYY,29.0,9.2,0.8, , ,4.0,-2.8, , , , ,2,5
22,Ian Anderson,ATL,28.1,9.2, , , ,5.1, ,-3.0, , , ,2,5
23,Shane McClanahan,TBR,31.1,9.1, , , ,5.2,0.9,-7.9, , , ,2,5
24,Frankie Montas,OAK,35.0,9.1, ,1.0,6.3, ,1.3, , , , ,2,5
25,Alek Manoah,TOR,31.0,9.0, , ,5.2,3.8,-0.8, , , , ,2,5
26,Jordan Lyles,BAL,37.0,9.0, , ,6.3,3.4,-1.6,-8.7, , , ,2,5
27,Walker Buehler,LAD,34.0,9.0,4.5, ,6.9,1.8,0.3,-9.0, , , ,2,5
28,Kevin Gausman,TOR,36.1,9.0, ,1.7, , ,-0.1, , , , ,2,5
29,Paul Blackburn,OAK,34.1,8.9,2.1, ,5.0,3.4,-4.9,-9.8, , , ,2,5
30,Cal Quantrill,CLE,31.2,8.8,2.4, ,7.3,2.8, ,-1.5, , , ,2,5
