#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
61,Martin Perez,TEX,34.0,7.6,6.2, ,5.2,4.3,3.2,-4.5, , , ,5,2022-08-01
62,Jesus Luzardo,MIA,36.1,7.6, , ,5.5,3.6,-1.3, , , , ,5,2022-08-01
63,German Marquez,COL,31.0,7.6, , ,4.9,3.5,2.7,-2.1, , , ,5,2022-08-01
64,Corey Kluber,TBR,29.2,7.5,4.0, ,3.7,2.4,-0.7, , , , ,5,2022-08-01
65,George Kirby,SEA,29.1,7.5, , ,4.4,1.4,-1.9,-7.0, , , ,5,2022-08-01
66,Marcus Stroman,CHC,34.0,7.2,2.6, ,0.9,-0.1,-0.4,-2.9, , , ,5,2022-08-01
67,Joe Musgrove,SDP,34.0,7.2,4.8, ,4.4,1.4,-1.7,-9.2, , , ,5,2022-08-01
68,Jose Urena,COL,29.0,7.2, , ,3.5,4.6,2.4, , , , ,5,2022-08-01
69,Luis Castillo,SEA,31.2,7.1, , ,2.5,0.4,-0.4, , , , ,5,2022-08-01
70,Sandy Alcantara,MIA,36.1,7.0, , ,3.9,1.5,1.1, , , , ,5,2022-08-01
71,Ryan Feltner,COL,30.0,7.0, , ,2.7,2.8,0.0,-6.3, , , ,5,2022-08-01
72,Mike Minor,CIN,33.0,6.9, , ,5.6,4.6,2.1,-7.4, , , ,5,2022-08-01
73,Chris Bassitt,NYM,33.1,6.7,4.3, ,4.4,3.3,-0.3,-8.8, , , ,5,2022-08-01
74,Lance Lynn,CHW,36.2,6.7,2.2, ,3.1,3.1,-1.9, , , , ,5,2022-08-01
75,Charlie Morton,ATL,30.1,6.5, , ,1.8,-0.4,2.7,-6.5, , , ,5,2022-08-01
76,Kyle Wright,ATL,32.0,6.4, , ,2.2,-0.4,4.1,-5.4, , , ,5,2022-08-01
77,Nick Lodolo,CIN,28.2,5.2, , ,2.1,-0.1, ,-0.9, , , ,5,2022-08-01
78,Alex Wood,SFG,30.0,5.1, , ,4.7,-1.1,-2.9, , , , ,5,2022-08-01
79,Framber Valdez,HOU,35.1,4.9, , ,3.3,0.5,-4.4,-10.9, , , ,5,2022-08-01
80,Logan Webb,SFG,35.0,4.4,3.5, ,-2.2,-4.1,-0.1, , , , ,5,2022-08-01
81,Drew Smyly,CHC,30.0, ,6.5, ,9.1, , ,-1.7, , , ,5,2022-08-01
82,Zach Davies,ARI,28.1, ,6.2, ,6.2,3.6,-3.2,-8.6, , , ,5,2022-08-01
83,Kyle Bradish,BAL,28.2, ,8.5, , ,4.5,-1.8,-8.1, , , ,5,2022-08-01
