#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
61,Carlos Carrasco,NYM,30.0,7.3, , ,3.2,1.1,0.7,-2.7, , , ,4,7
62,German Marquez,COL,31.2,7.2, , ,4.5,4.0,2.5,-0.4, , , ,4,7
63,Sandy Alcantara,MIA,34.0,7.2, , ,4.0,1.7,0.9, , , , ,4,7
64,Chris Bassitt,NYM,25.1,7.2,4.5, ,4.6,3.0,0.3,-8.4, , , ,4,7
65,Jose Berrios,TOR,36.0,7.1, , ,4.9,1.5,-3.5, , , , ,4,7
66,Brad Keller,KCR,28.2,7.1, , ,4.3,5.5,-2.7, , , , ,4,7
67,Pablo Lopez,MIA,31.0,7.0,3.5, ,2.5,1.2, ,-6.3, , , ,4,7
68,Luis Castillo,CIN,28.0,7.0, , ,2.6,1.0,-0.3, , , , ,4,7
69,Jon Gray,TEX,30.1,6.9, , , ,4.5,2.4,-7.6, , , ,4,7
70,Lance Lynn,CHW,31.2,6.9,2.3, ,3.6,2.6,1.6,-1.2, , , ,4,7
71,Zach Thompson,PIT,27.0,6.8,1.1, ,3.9,2.3, ,-6.4, , , ,4,7
72,Max Fried,ATL,38.0,6.8, , ,5.2,2.2,0.7,-9.6, , , ,4,7
73,Kyle Wright,ATL,30.2,6.7, , ,2.4,0.1,4.4,-5.1, , , ,4,7
74,Jose Urena,COL,27.0,6.7, , ,3.7,4.6,3.3, , , , ,4,7
75,Charlie Morton,ATL,30.0,6.5, , ,2.3,-0.1,2.6,-7.0, , , ,4,7
76,Brady Singer,KCR,30.2,5.7, , ,5.4,6.1,-0.4, , , , ,4,7
77,Framber Valdez,HOU,33.2,5.0, , ,3.1,0.9,-2.6,-10.1, , , ,4,7
78,Logan Webb,SFG,38.1,5.0, , ,-2.3,-4.1,-0.3, , , , ,4,7
79,Andre Pallante,STL,26.1,4.7, , ,6.9,3.8,-0.4,-10.1, , , ,4,7
80,Sean Manaea,SDP,25.0, , , ,6.4,2.4,1.4, , , , ,4,7
