#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
61,Sandy Alcantara,MIA,47.2,7.6, , ,3.8,1.5,1.1, , , , ,3,2022-06-01
62,Kyle Freeland,COL,33.0,7.6,2.6, ,3.3,3.2,-3.9, , , , ,3,2022-06-01
63,Adam Wainwright,STL,32.0,7.5,3.1, ,6.1,3.1, ,-9.8, , , ,3,2022-06-01
64,Luis Castillo,CIN,30.1,7.4, , ,2.8,1.1,-0.7, , , , ,3,2022-06-01
65,Jose Berrios,TOR,28.2,7.4, , ,5.1,1.7,-3.5, , , , ,3,2022-06-01
66,Shohei Ohtani,LAA,29.2,7.2,1.9,0.6, , ,2.2,-8.7, , , ,3,2022-06-01
67,Joe Musgrove,SDP,34.0,7.0,4.3, ,4.3,0.9,-1.7,-8.8, , , ,3,2022-06-01
68,Rony Garcia,DET,25.1,7.0, , ,3.6,4.4,-0.5, , , , ,3,2022-06-01
69,Chris Bassitt,NYM,30.2,7.0,4.5, ,4.7,3.1,0.1,-9.3, , , ,3,2022-06-01
70,Pablo Lopez,MIA,28.2,6.8,2.7, ,3.1,0.9, ,-6.1, , , ,3,2022-06-01
71,German Marquez,COL,34.0,6.7, , ,4.3,3.6,2.2,-0.5, , , ,3,2022-06-01
72,Chad Kuhl,COL,29.1,6.7, , ,5.5,3.2,1.0,-7.2,-5.6, , ,3,2022-06-01
73,Jason Alexander,MIL,30.2,6.6, , ,0.3,1.8,-0.4, , , , ,3,2022-06-01
74,Jon Gray,TEX,37.2,6.6, , , ,4.4,2.3,-6.8, , , ,3,2022-06-01
75,Kyle Wright,ATL,38.1,6.5, , ,2.1,-0.3,4.1,-5.9, , , ,3,2022-06-01
76,Antonio Senzatela,COL,28.1,6.3, , ,5.8,4.4,1.3,-3.7, , , ,3,2022-06-01
77,Justin Steele,CHC,29.2,6.3, , ,6.3,5.6,-2.4,-4.0, , , ,3,2022-06-01
78,Charlie Morton,ATL,30.2,6.1, , ,2.1,0.2,2.0,-6.0, , , ,3,2022-06-01
79,Max Fried,ATL,33.1,5.8, , ,4.8,1.3,-0.6,-9.8, , , ,3,2022-06-01
80,Framber Valdez,HOU,32.0,5.4, , ,3.0,-0.1,-3.3,-10.6, , , ,3,2022-06-01
81,Ranger Suarez,PHI,31.0,5.4,3.9, ,2.8,2.9,-0.9,-4.9, , , ,3,2022-06-01
82,Logan Webb,SFG,30.1,5.3, , ,-2.1,-3.6,-0.6, , , , ,3,2022-06-01
83,Graham Ashcraft,CIN,33.0,5.0, , ,2.6,2.5,-1.7, , , , ,3,2022-06-01
84,Andre Pallante,STL,30.1,4.8, , ,6.7, ,-1.1,-11.3, , , ,3,2022-06-01
85,Dakota Hudson,STL,35.1,4.4,3.0, ,2.9,4.0,-4.1, , , , ,3,2022-06-01
86,Zach Davies,ARI,31.2, ,6.5, ,6.4,3.8,-3.7,-9.0, , , ,3,2022-06-01
87,Alex Wood,SFG,30.1, , , ,5.6,-0.9,-2.1, , , , ,3,2022-06-01
88,Sean Manaea,SDP,29.0, , , ,6.6,3.5,1.4, , , , ,3,2022-06-01
89,Brady Singer,KCR,28.2, , , ,5.8,6.6,-0.5, , , , ,3,2022-06-01
