#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Triston McKenzie,CLE,38.2,11.3, , , , ,4.8,-6.0, , , ,6,9
2,Nick Pivetta,BOS,32.1,10.8, ,2.0, , ,0.1,-12.8, , , ,6,9
3,Michael Wacha,BOS,32.1,10.2,5.9, ,8.5,5.6, ,-7.7, , , ,6,9
4,Clayton Kershaw,LAD,41.0,10.1, , , , ,3.1,-10.5, , , ,6,9
5,Jon Heasley,KCR,33.1,10.0, , , ,5.3,0.7,-11.0, , , ,6,9
6,Ross Stripling,TOR,33.1,9.9, , ,7.5,4.8,3.0,-7.9, , , ,6,9
7,Blake Snell,SDP,35.0,9.9, , , ,4.1,1.9,-6.2, , , ,6,9
8,Dylan Cease,CHW,37.0,9.9, ,7.9, , ,0.3,-10.1, , , ,6,9
9,Rich Hill,BOS,34.2,9.8,3.5, ,-0.3,3.1,-1.2,-10.5, , , ,6,9
10,Lucas Giolito,CHW,33.2,9.5, , , ,4.7,0.4,-8.7, , , ,6,9
11,Logan Gilbert,SEA,36.0,9.5, , ,6.1,5.1,-0.1,-5.6, , , ,6,9
12,Tyler Alexander,DET,33.0,9.5,4.8, ,6.5,3.7,-1.2, , , , ,6,9
13,Gerrit Cole,NYY,36.0,9.5, , , ,4.5,-0.3,-9.0, , , ,6,9
14,Robbie Ray,SEA,33.1,9.4, , ,6.4,6.6,4.3,-1.0, , , ,6,9
15,Taijuan Walker,NYM,34.2,9.3,6.9,0.1,6.5, ,1.6,-8.3, , , ,6,9
16,Cal Quantrill,CLE,37.1,9.1,3.3, ,7.2,3.4, ,-2.2, , , ,6,9
17,Zac Gallen,ARI,38.1,9.1,3.8, , ,1.0, ,-8.4, , , ,6,9
18,Brandon Woodruff,MIL,44.2,9.1, , ,6.8,4.0,1.4,-3.8, , , ,6,9
19,Shane Bieber,CLE,48.0,9.0,4.6, , ,2.6,1.0,-7.7, , , ,6,9
20,Kevin Gausman,TOR,34.1,9.0, ,1.0, , ,1.5, , , , ,6,9
21,Jeffrey Springs,TBR,34.1,9.0, , , ,3.2,2.1, , , , ,6,9
22,Jameson Taillon,NYY,36.2,8.8,5.9, ,6.9,5.0,1.5,-6.3, , , ,6,9
23,Yu Darvish,SDP,39.0,8.8,4.8,2.4,6.0,3.0,-0.7,-8.4,-10.2, , ,6,9
24,Julio Urias,LAD,35.1,8.8, , , ,2.8, ,-1.5, , , ,6,9
25,Alex Cobb,SFG,38.2,8.8, ,-0.3,4.0, , ,-9.0, , , ,6,9
26,Alek Manoah,TOR,41.0,8.5, , ,4.8,4.4,-1.4, , , , ,6,9
27,Dean Kremer,BAL,42.0,8.4,4.8, ,5.7,-0.2, ,-10.5, , , ,6,9
28,Marco Gonzales,SEA,36.1,8.4,5.5, ,5.7,2.7, ,-8.8, , , ,6,9
29,Mitch Keller,PIT,35.0,8.3, , ,5.3,2.2,-2.7,-10.2, , , ,6,9
30,Jose Quintana,STL,33.1,8.2, , ,6.6,2.1, ,-5.7, , , ,6,9
