#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Alex Cobb,SFG,36.0,11.0, ,0.8,4.7, , ,-7.4, , , ,4,2022-07-01
2,Triston McKenzie,CLE,33.2,10.8, , , , ,4.9,-5.3, , , ,4,2022-07-01
3,Tyler Wells,BAL,25.0,10.7, , , ,6.9,3.8,-6.6, , , ,4,2022-07-01
4,Jose Urquidy,HOU,33.0,10.5, , , ,6.6,-1.3,-10.2, , , ,4,2022-07-01
5,Kutter Crawford,BOS,28.0,10.2,4.6,6.2, , ,-0.6,-8.6, , , ,4,2022-07-01
6,Blake Snell,SDP,25.2,10.2, , , ,5.2,2.7,-5.4, , , ,4,2022-07-01
7,Dylan Cease,CHW,35.2,10.1, ,8.8, , ,-0.2,-10.1, , , ,4,2022-07-01
8,Dylan Bundy,MIN,24.1,10.1, ,2.6, , ,-1.5,-6.0, , , ,4,2022-07-01
9,Nestor Cortes,NYY,27.2,10.0,4.2, , ,2.4,1.1,-6.8, , , ,4,2022-07-01
10,Chris Flexen,SEA,27.2,10.0,3.8, , ,4.5,-2.1,-11.1, , , ,4,2022-07-01
11,Carlos Rodon,SFG,37.0,9.9, , , ,5.7,-0.8,-6.4, , , ,4,2022-07-01
12,Spencer Strider,ATL,26.2,9.9, , , ,4.7,0.3, , , , ,4,2022-07-01
13,Jake Odorizzi,HOU,28.1,9.7,5.8,2.9,8.2, ,1.3,-5.5, , , ,4,2022-07-01
14,Josiah Gray,WSN,26.2,9.7, , , ,5.1,3.4,-3.3, , , ,4,2022-07-01
15,Corbin Burnes,MIL,31.1,9.7,5.6, ,5.4,3.0,-0.2,-4.5, , , ,4,2022-07-01
16,Gerrit Cole,NYY,38.0,9.6,4.3, , ,4.4,-0.3,-8.1, , , ,4,2022-07-01
17,Tony Gonsolin,LAD,30.2,9.6, ,1.0, , ,2.1,-7.0, , , ,4,2022-07-01
18,Clayton Kershaw,LAD,32.1,9.6, , ,7.7,8.5,3.6,-9.0, , , ,4,2022-07-01
19,Brandon Woodruff,MIL,30.0,9.5, , ,7.4,4.9,0.8,-4.5, , , ,4,2022-07-01
20,Logan Gilbert,SEA,28.1,9.5, , , ,4.1,2.4,-5.3, , , ,4,2022-07-01
21,Taijuan Walker,NYM,30.2,9.4,4.8,1.2,6.6, ,4.0,-6.7, , , ,4,2022-07-01
22,Robbie Ray,SEA,25.0,9.4, , ,6.5,7.1,3.6,-2.0, , , ,4,2022-07-01
23,Shane McClanahan,TBR,30.2,9.4, , , ,4.8,0.9,-7.3, , , ,4,2022-07-01
24,Lucas Giolito,CHW,27.0,9.3, , , ,5.9,-0.2,-5.6, , , ,4,2022-07-01
25,Tyler Anderson,LAD,32.1,9.3,4.3, ,2.4,3.6, ,-4.8, , , ,4,2022-07-01
26,Jordan Lyles,BAL,32.2,9.1, , ,6.7,4.1,-0.9,-8.7, , , ,4,2022-07-01
27,Zac Gallen,ARI,29.2,9.1,3.2, , ,2.4,-1.0,-7.5, , , ,4,2022-07-01
28,Austin Gomber,COL,27.1,9.0, , , ,5.2,2.1,-7.2, , , ,4,2022-07-01
29,Yu Darvish,SDP,34.0,8.9,4.9,2.3,5.6,3.4,-0.8,-8.1, , , ,4,2022-07-01
30,Julio Urias,LAD,28.0,8.9, , , ,3.2, ,-0.6, , , ,4,2022-07-01
