#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Dylan Bundy,MIN,21.1,10.6, ,2.4,8.7, ,-1.8,-8.0, , , ,1,2022-04-01
2,Justin Verlander,HOU,26.0,10.3, , , ,8.4,2.2,-7.5, , , ,1,2022-04-01
3,Clayton Kershaw,LAD,23.0,10.2, , ,9.7,8.4,2.2,-10.5, , , ,1,2022-04-01
4,Chris Flexen,SEA,24.0,10.2,3.6, , ,4.0, ,-8.4, , , ,1,2022-04-01
5,Dylan Cease,CHW,22.0,10.2, ,6.1, , ,-2.2,-12.4, , , ,1,2022-04-01
6,Gerrit Cole,NYY,24.0,10.1,3.4, , ,5.0,-1.4,-9.2, , , ,1,2022-04-01
7,Carlos Rodon,SFG,23.0,10.1, , , , ,-1.8,-9.1, , , ,1,2022-04-01
8,Zach Plesac,CLE,21.1,9.9, , ,7.2,5.9,2.4,-6.8, , , ,1,2022-04-01
9,Frankie Montas,OAK,29.2,9.8, ,0.7,6.8, ,1.8, , , , ,1,2022-04-01
10,Yu Darvish,SDP,26.1,9.7,5.2,1.8,7.0,2.2,-1.3,-8.0, , , ,1,2022-04-01
11,Austin Gomber,COL,21.0,9.5, , , ,5.9,0.3,-10.7, , , ,1,2022-04-01
12,Luis Garcia,HOU,21.2,9.5,0.8, , ,5.5,-0.6,-5.0, , , ,1,2022-04-01
13,Shane Bieber,CLE,29.1,9.4,9.8, , ,3.9,1.3,-6.8, , , ,1,2022-04-01
14,Robbie Ray,SEA,30.1,9.4, , , ,6.7,3.1,-2.1, , , ,1,2022-04-01
15,Tyler Mahle,CIN,22.1,9.4,5.2,4.3, , ,-0.1, , , , ,1,2022-04-01
16,Eric Lauer,MIL,23.1,9.3,6.1, , ,3.0,2.1,-6.0, , , ,1,2022-04-01
17,Elieser Hernandez,MIA,20.1,9.3, , , ,5.4,6.0, , , , ,1,2022-04-01
18,Alek Manoah,TOR,25.0,9.3, , ,6.1,4.7,-0.8, , , , ,1,2022-04-01
19,Cal Quantrill,CLE,22.0,9.3,2.4, ,7.9,3.8, ,-3.9, , , ,1,2022-04-01
20,Shane McClanahan,TBR,27.0,9.2, , , ,4.5,0.5,-7.5, , , ,1,2022-04-01
21,Walker Buehler,LAD,24.2,9.1,4.6, ,6.0,2.9,0.2,-8.5, , , ,1,2022-04-01
22,Kevin Gausman,TOR,24.2,9.0, ,0.4, ,6.1,0.1, , , , ,1,2022-04-01
23,Cole Irvin,OAK,27.2,9.0,4.0, ,6.3,3.8,-1.5,-5.2, , , ,1,2022-04-01
24,Logan Gilbert,SEA,22.1,9.0, , , ,2.2,1.1,-6.1, , , ,1,2022-04-01
25,Max Scherzer,NYM,25.0,8.9,4.5, , ,1.5,2.3,-5.3, , , ,1,2022-04-01
26,Tylor Megill,NYM,28.0,8.9, , , ,3.4,-0.2,-6.8, , , ,1,2022-04-01
27,Tarik Skubal,DET,20.2,8.4, , ,6.0,3.1,2.8,-8.1, , , ,1,2022-04-01
28,Merrill Kelly,ARI,28.1,8.3,6.8, ,4.1,1.0, ,-6.7, , , ,1,2022-04-01
29,Kyle Gibson,PHI,27.2,8.3,4.3, ,3.5,1.4,-0.9,-4.5, , , ,1,2022-04-01
30,Jesus Luzardo,MIA,20.1,8.2, , ,6.7,4.9,-1.2, , , , ,1,2022-04-01
