#,Name,Team,IP,FA-Z,FC-Z,FS-Z,SI-Z,CH-Z,SL-Z,CU-Z,CS-Z,KN-Z,SB-Z,MonthSeason,MonthYear
1,Triston McKenzie,CLE,38.2,10.9, , , , ,4.8,-5.7, , , ,5,8
2,Nick Pivetta,BOS,28.2,10.7, ,4.3, , ,1.0,-11.7, , , ,5,8
3,Jose Urquidy,HOU,31.2,10.2, , , ,7.0,-0.9,-9.5, , , ,5,8
4,Blake Snell,SDP,32.0,10.2, , , ,5.2,1.4,-6.6, , , ,5,8
5,Brady Singer,KCR,37.0,10.0, , ,4.8,5.5,-0.4, , , , ,5,8
6,Dylan Cease,CHW,30.1,10.0, ,7.4, , ,-0.1,-10.9, , , ,5,8
7,Kutter Crawford,BOS,29.2,10.0,3.2,4.9, , ,0.7,-9.5, , , ,5,8
8,Justin Verlander,HOU,28.0,9.8, , , ,4.3,1.4,-7.8, , , ,5,8
9,Tyler Anderson,LAD,37.1,9.7,4.6, ,2.0,4.0, ,-8.9, , , ,5,8
10,Gerrit Cole,NYY,39.1,9.7, , , ,3.9,-0.2,-8.0, , , ,5,8
11,Cristian Javier,HOU,32.0,9.5, , , ,3.8,-0.3,-7.8, , , ,5,8
12,Carlos Rodon,SFG,28.1,9.5, , , ,5.3,-1.4,-8.6, , , ,5,8
13,Robbie Ray,SEA,33.0,9.4, , ,6.6, ,3.1,-0.2, , , ,5,8
14,Kevin Gausman,TOR,36.2,9.4, ,2.3, , ,0.8, , , , ,5,8
15,Alex Cobb,SFG,29.0,9.4, ,0.2,4.2, , ,-7.8, , , ,5,8
16,Luis Garcia,HOU,29.0,9.3,1.9, ,6.8,4.8,-2.6,-8.3, , , ,5,8
17,Tyler Alexander,DET,30.2,9.3,4.8, ,6.2,3.8,-1.1, , , , ,5,8
18,Lucas Giolito,CHW,31.2,9.3, , , ,4.9,-0.6,-9.2, , , ,5,8
19,Mike Clevinger,SDP,32.0,9.3,1.0, ,7.3,5.0,-2.0,-5.7, , , ,5,8
20,Shane Bieber,CLE,33.1,9.1,3.9, , ,2.7,-0.1,-7.3, , , ,5,8
21,Julio Urias,LAD,30.0,9.1, , , ,3.2, ,-1.3, , , ,5,8
22,Austin Voth,BAL,28.0,9.1,3.2, , ,5.3,2.7,-7.7, , , ,5,8
23,Corbin Burnes,MIL,33.2,9.1,6.2, ,6.4,3.5,-0.2,-5.0, , , ,5,8
24,Jameson Taillon,NYY,31.2,9.1,6.2, ,7.5,5.1,1.3,-6.0, , , ,5,8
25,Cal Quantrill,CLE,38.0,9.0,3.3, ,7.4,3.8, ,-3.1, , , ,5,8
26,Jacob deGrom,NYM,36.1,9.0, , , ,3.6,2.4,-2.7, , , ,5,8
27,Eric Lauer,MIL,30.0,9.0,5.0, , ,3.8,-1.5,-5.2, , , ,5,8
28,Brandon Woodruff,MIL,30.0,9.0, , ,6.6,4.3,0.9,-4.8, , , ,5,8
29,Zac Gallen,ARI,40.0,9.0,3.6, , ,1.7,2.3,-8.2, , , ,5,8
30,Anibal Sanchez,WSN,30.2,9.0,6.3,3.8,7.1,3.9,1.5,-3.2, , , ,5,8
