#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Charlie Morton,ATL,0.43,-2.15,2.58,4.24,0.44,1.06,0.98,0.88,1.55,5,0.12,0.29,0,0,3,2022-06-01
32,Jeffrey Springs,TBR,0.41,-1.48,1.90,3.63,0.40,0.90,0.92,0.87,1.08,5,-0.13,0.59,0,0,3,2022-06-01
33,Justin Steele,CHC,0.40,-2.11,2.52,1.28,0.13,1.05,0.97,0.87,1.37,5,-0.03,0.41,0,0,3,2022-06-01
34,Sean Manaea,SDP,0.39,-1.35,1.74,1.06,0.12,0.75,0.78,0.87,0.92,5,0.27,0.25,0,0,3,2022-06-01
35,Beau Brieske,DET,0.36,-1.70,2.06,3.89,0.43,1.04,1.01,0.88,1.39,5,0.41,-0.06,0,0,3,2022-06-01
36,Joe Musgrove,SDP,0.28,-1.72,2.01,5.64,0.56,0.81,0.91,0.89,0.21,5,0.81,-0.46,0,0,3,2022-06-01
37,Shane Bieber,CLE,0.25,-2.47,2.72,6.16,0.62,0.91,0.90,0.88,1.20,6,0.79,-0.51,0,0,3,2022-06-01
38,Kyle Hendricks,CHC,0.24,-1.42,1.66,0.80,0.10,0.75,0.80,0.87,0.98,5,0.26,0.07,0,0,3,2022-06-01
39,Andre Pallante,STL,0.24,-2.21,2.45,4.50,0.47,1.04,0.98,1.02,1.09,6,0.24,-0.01,0,1,3,2022-06-01
40,Zack Wheeler,PHI,0.24,-1.37,1.61,4.61,0.45,0.73,0.71,0.87,0.78,5,0.29,0.04,0,0,3,2022-06-01
41,Miles Mikolas,STL,0.23,-1.65,1.88,5.65,0.62,0.79,0.71,0.87,0.49,4,0.90,-0.61,0,0,3,2022-06-01
42,Rich Hill,BOS,0.22,-2.02,2.24,2.53,0.28,1.02,0.94,0.89,1.04,5,0.01,0.21,0,0,3,2022-06-01
43,Chad Kuhl,COL,0.22,-1.73,1.96,3.44,0.19,0.79,0.82,0.88,0.84,4,0.30,-0.02,0,0,3,2022-06-01
44,Corey Kluber,TBR,0.20,-1.51,1.71,2.10,0.21,0.83,0.86,0.87,1.37,5,0.24,0.00,0,0,3,2022-06-01
45,Jose Urquidy,HOU,0.20,-1.62,1.82,0.43,0.04,0.88,0.82,0.88,0.60,5,0.09,0.13,0,0,3,2022-06-01
46,Rony Garcia,DET,0.19,-1.44,1.64,0.69,0.07,0.85,0.89,0.87,1.21,5,-0.25,0.47,0,0,3,2022-06-01
47,Dane Dunning,TEX,0.17,-2.18,2.35,3.27,0.36,0.97,0.91,0.88,1.54,6,0.12,0.05,0,0,3,2022-06-01
48,Antonio Senzatela,COL,0.13,-2.28,2.41,1.65,0.15,0.99,0.88,0.87,0.61,5,0.01,0.12,0,0,3,2022-06-01
49,Jason Alexander,MIL,0.12,-2.76,2.88,-0.86,-0.12,1.20,0.94,0.82,1.55,7,-0.31,0.41,0,2,3,2022-06-01
50,Cal Quantrill,CLE,0.12,-2.33,2.45,0.78,0.08,0.97,0.90,0.88,1.04,5,-0.29,0.42,0,0,3,2022-06-01
51,Tyler Anderson,LAD,0.11,-1.59,1.70,2.24,0.26,0.78,0.77,0.87,0.72,5,0.41,-0.27,0,0,3,2022-06-01
52,Paul Blackburn,OAK,0.11,-2.06,2.17,-3.22,-0.40,1.00,0.92,0.88,1.05,5,-0.55,0.67,0,0,3,2022-06-01
53,Martin Perez,TEX,0.08,-2.61,2.68,0.18,0.02,1.16,0.96,0.87,0.72,5,-0.32,0.39,0,0,3,2022-06-01
54,Merrill Kelly,ARI,0.07,-1.97,2.05,2.71,0.25,0.96,0.90,0.87,0.57,5,0.50,-0.42,0,0,3,2022-06-01
55,Patrick Corbin,WSN,0.06,-2.16,2.22,-5.25,-0.53,0.94,0.93,0.88,0.94,5,-0.73,0.79,0,0,3,2022-06-01
56,Framber Valdez,HOU,0.04,-1.72,1.76,2.63,0.29,0.82,0.74,0.82,0.65,5,0.44,-0.39,0,0,3,2022-06-01
57,Ranger Suarez,PHI,0.04,-2.03,2.07,1.07,0.12,0.90,0.83,0.88,0.76,5,-0.15,0.19,0,0,3,2022-06-01
58,Chris Bassitt,NYM,0.02,-1.96,1.98,-0.69,-0.06,0.89,0.88,0.87,1.66,5,0.14,-0.12,0,0,3,2022-06-01
59,Adam Wainwright,STL,0.00,-2.30,2.30,2.65,0.30,0.91,0.84,0.88,0.99,5,-0.03,0.03,0,0,3,2022-06-01
60,Luis Garcia,HOU,-0.02,-1.57,1.55,0.35,0.03,0.73,0.80,0.78,0.94,5,-0.19,0.15,0,0,3,2022-06-01
