#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Zac Gallen,ARI,1.66,-1.06,2.72,17.31,1.70,0.91,0.88,0.87,1.09,6,1.73,0.10,0,0,5,2022-08-01
2,Jacob deGrom,NYM,1.28,-1.01,2.29,9.58,1.05,0.83,0.98,0.87,1.37,6,1.35,0.20,0,0,5,2022-08-01
3,Drew Smyly,CHC,1.26,-1.21,2.47,12.66,1.29,1.02,1.02,0.87,1.18,5,0.98,0.26,0,0,5,2022-08-01
4,Jordan Montgomery,STL,1.25,-1.41,2.66,7.71,0.82,1.10,1.17,0.87,1.36,4,0.97,0.17,0,0,5,2022-08-01
5,Framber Valdez,HOU,1.07,-1.71,2.79,7.53,0.81,0.99,0.95,0.89,1.32,5,0.50,0.58,0,0,5,2022-08-01
6,Drew Rasmussen,TBR,1.05,-0.93,1.98,9.48,1.06,0.75,0.82,0.87,1.01,6,1.23,0.17,0,0,5,2022-08-01
7,Edward Cabrera,MIA,1.04,-1.02,2.06,9.58,1.04,0.94,0.91,0.87,1.06,5,0.94,0.17,0,0,5,2022-08-01
8,Chris Bassitt,NYM,1.03,-1.94,2.97,9.12,0.98,1.16,0.95,0.88,0.80,5,0.51,0.37,0,0,5,2022-08-01
9,Shane Bieber,CLE,0.99,-1.85,2.84,8.10,0.87,1.17,1.09,0.88,1.06,5,0.94,-0.10,0,0,5,2022-08-01
10,Austin Voth,BAL,0.91,-1.40,2.32,5.14,0.53,1.04,1.02,0.88,1.58,5,0.57,0.31,0,0,5,2022-08-01
11,Dean Kremer,BAL,0.90,-1.48,2.38,7.77,0.82,0.91,1.01,0.87,1.75,5,0.84,0.15,0,0,5,2022-08-01
12,Patrick Sandoval,LAA,0.89,-1.74,2.64,5.51,0.57,1.06,1.11,0.88,1.63,4,0.62,0.22,0,0,5,2022-08-01
13,Domingo German,NYY,0.88,-1.75,2.63,6.70,0.73,0.96,0.99,0.88,1.47,6,0.74,0.17,0,0,5,2022-08-01
14,Julio Urias,LAD,0.87,-1.22,2.09,9.42,1.00,0.92,0.92,0.89,1.27,5,0.79,0.15,0,0,5,2022-08-01
15,Kevin Gausman,TOR,0.84,-2.13,2.97,6.02,0.68,1.04,1.10,0.89,1.09,6,0.54,0.26,0,0,5,2022-08-01
16,Adam Wainwright,STL,0.78,-2.07,2.86,9.91,1.08,1.01,0.91,0.87,1.43,6,0.91,-0.14,0,0,5,2022-08-01
17,Robbie Ray,SEA,0.78,-1.65,2.43,8.55,0.96,0.95,0.98,0.87,1.07,5,0.80,0.02,0,0,5,2022-08-01
18,Max Scherzer,NYM,0.75,-2.08,2.83,7.34,0.82,0.97,0.91,0.88,1.01,6,0.65,0.13,0,0,5,2022-08-01
19,Luis Castillo,SEA,0.72,-1.71,2.43,4.22,0.46,0.98,0.91,0.79,1.18,5,0.05,0.69,0,0,5,2022-08-01
20,Lance Lynn,CHW,0.69,-1.86,2.55,6.47,0.69,0.88,0.97,0.89,1.11,6,0.66,0.12,0,0,5,2022-08-01
21,Freddy Peralta,MIL,0.67,-1.46,2.13,6.59,0.68,0.94,0.99,0.89,1.21,6,0.61,0.09,0,0,5,2022-08-01
22,Kyle Wright,ATL,0.66,-1.59,2.25,6.92,0.66,0.87,0.81,0.87,0.52,5,-0.06,0.82,0,0,5,2022-08-01
23,George Kirby,SEA,0.64,-1.55,2.20,5.92,0.66,0.99,0.86,0.87,1.21,5,0.53,0.12,0,0,5,2022-08-01
24,Sandy Alcantara,MIA,0.62,-2.72,3.34,5.27,0.59,1.22,1.11,0.87,0.78,3,0.81,-0.30,0,0,5,2022-08-01
25,Carlos Rodon,SFG,0.59,-1.62,2.21,3.03,0.34,0.99,0.96,0.89,1.07,5,-0.02,0.62,0,0,5,2022-08-01
26,Justin Verlander,HOU,0.58,-1.69,2.27,7.09,0.76,1.13,1.05,0.87,1.07,5,0.97,-0.45,0,0,5,2022-08-01
27,Kyle Bradish,BAL,0.58,-2.08,2.66,4.18,0.45,1.18,1.03,0.88,1.32,5,0.19,0.30,0,0,5,2022-08-01
28,Charlie Morton,ATL,0.52,-1.87,2.39,4.09,0.40,1.00,1.05,0.88,1.58,5,0.56,-0.03,0,0,5,2022-08-01
29,Adam Oller,OAK,0.50,-1.95,2.45,3.86,0.43,1.04,0.98,0.88,1.12,5,0.22,0.25,0,0,5,2022-08-01
30,Blake Snell,SDP,0.49,-1.92,2.41,4.75,0.49,0.97,0.88,0.87,0.75,6,0.37,0.13,0,0,5,2022-08-01
