#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
61,Jordan Montgomery,NYY,-0.04,-1.81,1.77,2.06,0.20,0.79,0.75,0.87,0.43,5,0.34,-0.39,0,0,3,2022-06-01
62,Luis Castillo,CIN,-0.07,-2.56,2.50,1.16,0.14,1.14,0.88,0.87,1.06,5,0.06,-0.12,0,0,3,2022-06-01
63,Logan Gilbert,SEA,-0.14,-3.05,2.91,0.33,0.04,1.05,0.97,0.88,1.19,6,-0.22,0.08,0,0,3,2022-06-01
64,Chris Flexen,SEA,-0.18,-2.69,2.51,-1.17,-0.13,0.99,0.85,0.88,1.06,6,-0.16,-0.03,0,0,3,2022-06-01
65,Graham Ashcraft,CIN,-0.20,-2.43,2.24,-2.97,-0.33,0.89,0.77,0.87,0.93,6,0.06,-0.28,0,0,3,2022-06-01
66,Pablo Lopez,MIA,-0.21,-2.12,1.91,-3.42,-0.38,0.86,0.79,0.88,0.67,5,-0.23,-0.02,0,0,3,2022-06-01
67,Alex Wood,SFG,-0.23,-2.57,2.34,-3.02,-0.27,1.08,1.01,0.88,1.09,6,0.27,-0.48,0,0,3,2022-06-01
68,Zac Gallen,ARI,-0.24,-2.28,2.04,-5.71,-0.57,1.03,1.07,0.87,0.90,5,-0.42,0.18,0,0,3,2022-06-01
69,Hunter Greene,CIN,-0.25,-1.98,1.73,-2.34,-0.22,0.84,0.87,0.87,0.86,5,0.07,-0.37,0,0,3,2022-06-01
70,Cole Irvin,OAK,-0.28,-2.62,2.35,-1.31,-0.12,0.92,0.90,0.88,1.16,6,0.10,-0.41,0,0,3,2022-06-01
71,Johnny Cueto,CHW,-0.28,-1.99,1.72,0.96,0.12,0.67,0.73,0.90,0.68,6,-0.27,-0.14,0,1,3,2022-06-01
72,Frankie Montas,OAK,-0.28,-2.56,2.27,-2.01,-0.21,1.05,0.96,0.88,1.03,5,-0.04,-0.23,0,0,3,2022-06-01
73,Carlos Carrasco,NYM,-0.29,-2.11,1.82,-5.92,-0.63,0.77,0.70,0.86,0.38,6,-0.87,0.50,0,0,3,2022-06-01
74,Jameson Taillon,NYY,-0.30,-2.71,2.42,-2.04,-0.23,0.98,0.89,0.86,1.39,6,-0.38,0.08,0,0,3,2022-06-01
75,German Marquez,COL,-0.34,-3.25,2.91,-4.07,-0.26,1.14,1.07,0.88,1.87,6,-0.13,-0.16,0,0,3,2022-06-01
76,Madison Bumgarner,ARI,-0.35,-2.47,2.12,-1.97,-0.23,0.87,0.73,0.87,0.43,6,-0.37,-0.03,0,0,3,2022-06-01
77,Ian Anderson,ATL,-0.35,-2.12,1.77,-7.08,-0.70,0.79,0.74,0.86,0.80,6,-0.43,-0.02,0,0,3,2022-06-01
78,Jose Quintana,PIT,-0.36,-2.98,2.63,-2.55,-0.27,1.19,1.00,0.88,1.24,6,-0.54,0.24,0,0,3,2022-06-01
79,Tarik Skubal,DET,-0.44,-2.50,2.06,-4.47,-0.45,0.82,0.86,0.88,0.52,6,-0.18,-0.35,0,0,3,2022-06-01
80,Keegan Thompson,CHC,-0.45,-2.29,1.84,-5.12,-0.56,0.92,0.86,0.89,1.13,6,-0.10,-0.39,0,0,3,2022-06-01
81,Dakota Hudson,STL,-0.45,-3.15,2.70,-1.81,-0.17,1.15,1.03,0.88,1.05,6,0.03,-0.42,0,0,3,2022-06-01
82,Brady Singer,KCR,-0.49,-2.45,1.96,-4.47,-0.46,0.98,0.91,0.87,0.91,5,-0.50,0.01,0,0,3,2022-06-01
83,Triston McKenzie,CLE,-0.59,-2.44,1.85,-5.85,-0.68,0.77,0.79,0.88,0.56,5,-0.84,0.07,0,0,3,2022-06-01
84,JT Brubaker,PIT,-0.67,-2.97,2.30,-3.45,-0.37,0.91,0.81,0.87,0.71,6,-0.52,-0.21,0,0,3,2022-06-01
85,Jose Berrios,TOR,-0.71,-1.88,1.17,-6.16,-0.62,0.58,0.58,0.87,0.31,5,-0.58,-0.64,0,0,3,2022-06-01
86,Adrian Houser,MIL,-0.76,-2.42,1.66,-6.02,-0.63,0.81,0.74,0.87,0.68,6,-0.41,-0.53,0,0,3,2022-06-01
87,Lucas Giolito,CHW,-0.87,-2.67,1.80,-12.54,-1.38,0.86,0.74,0.83,1.12,5,-1.17,0.15,0,0,3,2022-06-01
88,Jordan Lyles,BAL,-1.06,-2.98,1.92,-6.16,-0.64,1.02,0.85,0.87,0.98,5,-0.29,-0.75,0,0,3,2022-06-01
89,Eric Lauer,MIL,-1.14,-3.18,2.05,-9.25,-0.94,1.07,1.00,0.88,0.96,5,-0.63,-0.43,0,0,3,2022-06-01
