#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Jose Urena,COL,0.31,-2.09,2.40,3.00,0.29,0.91,0.90,0.87,1.24,6,0.25,0.09,0,0,6,9
32,Kyle Bradish,BAL,0.29,-2.56,2.85,2.64,0.31,1.07,1.00,0.89,1.60,7,0.58,-0.31,0,0,6,9
33,Luis Cessa,CIN,0.23,-2.26,2.49,3.81,0.41,0.91,0.88,0.87,0.85,7,0.40,-0.14,0,0,6,9
34,Cal Quantrill,CLE,0.23,-2.53,2.76,2.49,0.27,0.96,0.89,0.84,1.70,7,-0.10,0.34,0,0,6,9
35,Jameson Taillon,NYY,0.20,-2.09,2.29,2.67,0.30,0.84,0.84,0.88,0.99,6,0.53,-0.30,0,0,6,9
36,Brayan Bello,BOS,0.18,-2.74,2.92,4.56,0.44,1.13,0.98,0.87,1.55,5,-0.16,0.33,0,0,6,9
37,Kevin Gausman,TOR,0.15,-2.53,2.69,0.14,0.00,1.03,0.84,0.84,1.11,6,-0.04,0.19,0,0,6,9
38,Ranger Suarez,PHI,0.15,-2.27,2.42,-0.57,-0.09,0.93,0.91,0.87,0.89,6,-0.05,0.21,0,0,6,9
39,Brady Singer,KCR,0.15,-2.27,2.42,5.61,0.55,1.01,0.90,0.87,0.61,5,0.36,-0.21,0,0,6,9
40,Martin Perez,TEX,0.14,-2.65,2.79,4.23,0.44,1.05,0.86,0.88,1.37,6,0.43,-0.29,0,0,6,9
41,Taijuan Walker,NYM,0.11,-1.89,1.99,1.55,0.18,0.78,0.77,0.87,0.58,6,0.35,-0.21,0,0,6,9
42,Chris Bassitt,NYM,0.09,-1.73,1.82,0.63,0.08,0.82,0.75,0.88,0.78,6,0.07,0.04,0,0,6,9
43,German Marquez,COL,0.02,-2.44,2.46,-1.11,-0.02,0.91,0.90,0.89,1.17,6,-0.14,0.16,0,0,6,9
44,Lucas Giolito,CHW,0.01,-2.12,2.14,2.42,0.25,0.91,0.77,0.87,0.90,6,0.18,-0.16,0,0,6,9
45,Merrill Kelly,ARI,-0.03,-2.50,2.47,-2.14,-0.26,0.76,0.81,0.89,0.82,7,-0.14,0.09,0,0,6,9
46,Dean Kremer,BAL,-0.07,-3.10,3.04,1.84,0.20,0.97,0.88,0.89,0.91,6,0.05,-0.12,0,1,6,9
47,Alex Cobb,SFG,-0.07,-2.74,2.67,3.14,0.35,0.93,0.78,0.87,0.63,7,0.42,-0.50,0,0,6,9
48,Bryse Wilson,PIT,-0.08,-2.10,2.02,1.28,0.13,0.80,0.76,0.83,1.41,6,0.37,-0.47,0,2,6,9
49,Ken Waldichuk,OAK,-0.10,-2.95,2.85,-3.79,-0.40,1.06,1.00,0.86,1.09,7,-0.29,0.20,0,0,6,9
50,Luis Castillo,SEA,-0.17,-2.31,2.14,-0.51,-0.06,0.90,0.87,0.88,0.56,6,0.19,-0.38,0,0,6,9
51,Jon Heasley,KCR,-0.22,-2.34,2.12,-4.25,-0.47,0.84,0.81,0.89,0.66,6,-0.60,0.34,0,0,6,9
52,Robbie Ray,SEA,-0.24,-2.78,2.54,-2.66,-0.30,0.97,0.89,0.89,0.97,6,-0.83,0.58,0,0,6,9
53,Eduardo Rodriguez,DET,-0.25,-3.08,2.83,-2.38,-0.26,0.92,0.90,0.88,1.53,7,-0.83,0.56,0,0,6,9
54,Michael Wacha,BOS,-0.33,-2.79,2.45,-4.08,-0.42,0.97,0.90,0.85,1.06,6,-0.59,0.25,0,0,6,9
55,Rich Hill,BOS,-0.37,-2.91,2.54,-2.19,-0.27,0.96,0.93,0.89,1.15,7,-0.34,-0.04,0,0,6,9
56,Glenn Otto,TEX,-0.42,-3.09,2.67,-1.16,-0.14,1.01,0.96,0.87,1.23,7,-0.59,0.17,0,0,6,9
57,Charlie Morton,ATL,-0.45,-2.89,2.43,-2.69,-0.30,1.03,1.00,0.88,1.74,6,-0.47,0.03,0,0,6,9
58,Gerrit Cole,NYY,-0.51,-3.05,2.54,-1.66,-0.16,0.98,0.93,0.87,0.90,6,-0.41,-0.11,0,0,6,9
59,Jordan Montgomery,STL,-0.51,-2.78,2.26,-4.43,-0.48,0.90,0.85,0.87,1.06,6,-0.66,0.09,0,0,6,9
60,Nick Pivetta,BOS,-0.58,-3.09,2.51,-3.68,-0.38,1.07,0.92,0.87,1.06,7,-0.73,0.18,0,0,6,9
