#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Mitch Keller,PIT,0.45,-2.26,2.71,6.00,0.58,1.09,1.02,0.88,0.93,5,-0.03,0.45,0,0,4,7
32,Shohei Ohtani,LAA,0.44,-1.55,1.99,2.25,0.26,0.99,0.98,0.87,0.33,4,0.36,0.09,0,0,4,7
33,Jose Quintana,PIT,0.37,-1.86,2.23,2.59,0.32,1.05,1.01,0.87,2.11,5,0.51,-0.15,0,0,4,7
34,Martin Perez,TEX,0.36,-2.07,2.43,2.56,0.27,1.01,0.91,0.86,1.07,5,0.17,0.18,0,0,4,7
35,Jose Urena,COL,0.34,-2.13,2.47,-0.50,-0.01,1.05,0.96,0.88,1.51,5,0.12,0.20,0,0,4,7
36,Zac Gallen,ARI,0.33,-1.83,2.16,4.41,0.44,0.99,0.89,0.87,1.50,5,0.64,-0.31,0,0,4,7
37,Eric Lauer,MIL,0.29,-1.76,2.05,3.54,0.37,0.96,0.97,0.88,1.40,5,-0.01,0.32,0,0,4,7
38,Austin Gomber,COL,0.25,-1.89,2.14,2.67,0.24,0.94,0.86,0.71,0.95,6,0.18,0.09,0,0,4,7
39,Clayton Kershaw,LAD,0.24,-2.11,2.35,5.00,0.57,1.03,1.01,0.89,1.00,5,0.90,-0.67,0,0,4,7
40,Carlos Rodon,SFG,0.21,-2.41,2.62,1.79,0.23,0.99,0.89,0.88,0.65,5,0.40,-0.18,0,0,4,7
41,German Marquez,COL,0.20,-1.93,2.13,4.13,0.35,0.85,0.89,0.87,1.02,5,0.21,0.03,0,0,4,7
42,Braxton Garrett,MIA,0.18,-1.97,2.15,4.58,0.50,0.99,1.02,0.87,0.99,5,0.54,-0.36,0,0,4,7
43,Alex Cobb,SFG,0.18,-2.27,2.45,3.74,0.41,0.96,0.95,0.87,1.07,6,0.72,-0.54,0,0,4,7
44,Joe Ryan,MIN,0.18,-1.87,2.05,-3.45,-0.38,0.98,1.00,0.89,1.11,5,-0.53,0.71,0,0,4,7
45,Logan Webb,SFG,0.16,-2.16,2.32,5.84,0.63,0.86,0.78,0.87,0.73,6,0.41,-0.23,0,0,4,7
46,Chris Bassitt,NYM,0.14,-1.77,1.92,2.26,0.23,1.02,0.94,0.87,0.87,4,0.32,-0.18,0,0,4,7
47,Kris Bubic,KCR,0.14,-2.79,2.93,1.78,0.18,1.09,1.07,0.89,1.87,6,-0.31,0.43,0,0,4,7
48,Johnny Cueto,CHW,0.13,-2.12,2.25,7.17,0.76,0.84,0.71,0.88,0.94,5,0.23,-0.08,0,0,4,7
49,Logan Gilbert,SEA,0.12,-2.07,2.20,1.99,0.21,1.01,0.96,0.87,1.50,5,-0.15,0.27,0,0,4,7
50,Jake Odorizzi,HOU,0.12,-1.68,1.80,-1.19,-0.15,0.89,0.92,0.90,1.07,5,0.15,-0.02,0,0,4,7
51,Kyle Gibson,PHI,0.09,-1.72,1.81,-1.19,-0.08,0.86,0.95,0.87,1.51,5,-0.33,0.44,0,0,4,7
52,Tony Gonsolin,LAD,0.08,-2.14,2.22,0.15,0.00,0.94,0.98,0.87,0.89,5,0.24,-0.16,0,0,4,7
53,Adam Wainwright,STL,0.08,-1.79,1.87,2.42,0.30,0.74,0.83,0.87,0.80,4,0.02,0.09,0,0,4,7
54,Framber Valdez,HOU,0.06,-2.02,2.08,1.90,0.20,0.93,0.76,0.89,1.54,4,0.47,-0.41,0,0,4,7
55,Pablo Lopez,MIA,0.05,-2.42,2.46,-1.40,-0.19,1.07,1.03,0.87,1.75,6,-0.11,0.15,0,0,4,7
56,Brad Keller,KCR,0.00,-2.46,2.46,-0.04,0.00,1.17,0.98,0.86,1.22,5,0.10,-0.10,0,0,4,7
57,Madison Bumgarner,ARI,-0.03,-2.23,2.21,-1.29,-0.15,0.94,0.88,0.88,0.56,5,-0.08,0.05,0,0,4,7
58,Miles Mikolas,STL,-0.07,-2.39,2.32,1.68,0.22,0.91,0.83,0.88,0.43,6,0.35,-0.42,0,0,4,7
59,Aaron Nola,PHI,-0.07,-2.13,2.06,2.37,0.26,0.81,0.84,0.89,0.49,5,0.48,-0.57,0,0,4,7
60,Kyle Freeland,COL,-0.08,-2.08,2.01,-0.52,-0.04,0.94,0.96,0.88,1.28,5,0.08,-0.16,0,0,4,7
