#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Pablo Lopez,MIA,1.04,-0.53,1.57,9.70,1.03,0.84,0.97,0.87,0.85,4,1.02,0.22,0,0,1,4
2,Kyle Wright,ATL,0.99,-1.20,2.19,8.68,0.88,1.16,1.12,0.87,1.89,4,0.75,0.10,0,0,1,4
3,Alek Manoah,TOR,0.99,-1.04,2.03,7.95,0.83,1.06,1.04,0.89,1.60,4,0.80,0.13,0,0,1,4
4,Merrill Kelly,ARI,0.95,-1.14,2.09,9.32,0.98,0.92,0.87,0.87,1.28,5,0.90,0.13,0,0,1,4
5,Corbin Burnes,MIL,0.87,-1.02,1.89,7.29,0.78,0.94,1.04,0.87,1.15,4,0.75,0.18,0,0,1,4
6,Joe Ryan,MIN,0.85,-0.69,1.54,8.36,0.86,0.79,0.91,0.88,0.88,4,0.79,0.28,0,0,1,4
7,Max Scherzer,NYM,0.84,-1.04,1.88,6.61,0.73,0.99,1.02,0.87,1.09,4,0.99,-0.15,0,0,1,4
8,Tylor Megill,NYM,0.81,-1.37,2.18,7.13,0.73,1.01,1.03,0.88,1.40,5,0.76,0.05,0,0,1,4
9,Sandy Alcantara,MIA,0.81,-1.36,2.17,6.52,0.71,1.06,1.00,0.87,1.18,4,0.31,0.45,0,0,1,4
10,Logan Gilbert,SEA,0.78,-0.66,1.44,7.75,0.86,0.79,0.86,0.87,0.91,4,0.63,0.36,0,0,1,4
11,Clayton Kershaw,LAD,0.77,-0.76,1.53,5.27,0.57,0.86,0.89,0.89,0.84,4,0.78,0.12,0,0,1,4
12,Carlos Rodon,SFG,0.74,-0.85,1.59,7.65,0.83,0.90,0.90,0.85,0.83,4,0.67,0.16,0,0,1,4
13,Chad Kuhl,COL,0.73,-1.02,1.75,7.83,0.72,0.96,0.98,0.88,1.59,4,0.91,-0.15,0,0,1,4
14,Miles Mikolas,STL,0.71,-1.33,2.05,8.60,0.95,0.94,0.94,0.84,1.13,5,0.73,0.04,0,0,1,4
15,Nathan Eovaldi,BOS,0.71,-1.66,2.37,5.78,0.60,1.06,1.00,0.87,1.48,5,0.12,0.55,0,0,1,4
16,Justin Verlander,HOU,0.61,-1.07,1.69,6.51,0.72,0.99,0.99,0.87,1.07,4,0.58,0.04,0,0,1,4
17,Logan Webb,SFG,0.56,-2.09,2.65,3.22,0.35,1.06,1.07,0.88,1.22,5,0.23,0.30,0,0,1,4
18,Chris Bassitt,NYM,0.56,-0.98,1.54,4.94,0.51,0.84,0.80,0.87,0.69,4,0.39,0.28,0,0,1,4
19,Kevin Gausman,TOR,0.53,-1.19,1.72,5.35,0.56,0.93,0.97,0.87,1.46,4,0.63,-0.06,0,0,1,4
20,Brad Keller,KCR,0.51,-1.29,1.80,4.56,0.44,0.97,1.08,0.86,1.25,4,0.74,-0.21,0,0,1,4
21,Shane Bieber,CLE,0.51,-1.57,2.09,5.87,0.62,0.93,0.88,0.87,1.10,5,0.38,0.17,0,0,1,4
22,Cole Irvin,OAK,0.50,-1.47,1.96,3.57,0.42,0.91,0.81,0.87,0.87,5,0.13,0.42,0,0,1,4
23,Walker Buehler,LAD,0.49,-1.19,1.68,5.85,0.57,0.84,0.89,0.88,0.75,3,0.28,0.31,0,0,1,4
24,Eric Lauer,MIL,0.48,-1.17,1.65,5.63,0.57,0.90,0.90,0.88,0.75,4,0.51,0.03,0,0,1,4
25,Dylan Cease,CHW,0.47,-1.34,1.81,3.66,0.40,1.12,0.93,0.88,1.14,4,0.39,0.03,0,0,1,4
26,Max Fried,ATL,0.46,-1.16,1.63,4.63,0.49,0.92,0.90,0.87,1.25,4,0.63,-0.13,0,0,1,4
27,Yu Darvish,SDP,0.45,-1.48,1.93,0.15,0.01,0.98,1.00,0.87,1.19,5,0.33,0.13,0,0,1,4
28,Sean Manaea,SDP,0.40,-1.81,2.21,2.84,0.30,1.04,0.98,0.88,1.00,5,0.23,0.15,0,0,1,4
29,Madison Bumgarner,ARI,0.39,-1.53,1.92,4.57,0.47,1.07,1.01,0.87,1.25,5,0.24,0.12,0,0,1,4
30,Aaron Nola,PHI,0.38,-1.53,1.91,1.64,0.13,0.88,0.95,0.87,1.18,5,0.09,0.34,0,0,1,4
