#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
1,Merrill Kelly,ARI,1.84,-1.25,3.09,15.27,1.52,0.92,1.01,0.88,1.07,6,1.74,0.26,0,0,4,7
2,Max Fried,ATL,1.33,-2.31,3.64,10.92,1.08,1.19,1.05,0.88,1.09,6,0.93,0.19,0,0,4,7
3,Max Scherzer,NYM,1.18,-1.58,2.76,10.68,1.10,1.07,1.06,0.87,1.43,5,0.97,0.13,0,0,4,7
4,Dylan Cease,CHW,1.16,-1.32,2.48,13.28,1.41,0.85,0.84,0.88,0.95,6,0.94,0.42,0,0,4,7
5,Carlos Carrasco,NYM,1.09,-1.37,2.47,10.73,1.17,1.06,0.96,0.88,1.34,5,0.63,0.41,0,0,4,7
6,Zack Wheeler,PHI,1.08,-1.04,2.12,6.95,0.74,0.84,0.91,0.86,0.84,5,0.87,0.41,0,0,4,7
7,Luis Castillo,CIN,1.04,-1.38,2.41,9.04,0.89,1.07,1.04,0.87,1.34,4,0.81,0.16,0,0,4,7
8,Triston McKenzie,CLE,0.89,-1.24,2.12,11.28,1.19,0.87,0.90,0.88,0.93,5,1.26,-0.24,0,0,4,7
9,Sandy Alcantara,MIA,0.85,-2.08,2.93,7.55,0.83,1.18,1.10,0.87,1.41,5,0.77,-0.06,0,0,4,7
10,Tyler Anderson,LAD,0.82,-1.06,1.88,11.17,1.11,0.77,0.79,0.88,0.75,5,1.15,-0.08,0,0,4,7
11,Kyle Wright,ATL,0.80,-1.60,2.40,6.29,0.63,0.94,0.89,0.88,1.24,5,0.37,0.48,0,0,4,7
12,Taijuan Walker,NYM,0.79,-1.69,2.48,4.73,0.50,1.02,0.95,0.86,1.12,5,0.22,0.55,0,0,4,7
13,Nestor Cortes,NYY,0.76,-1.33,2.09,5.10,0.55,0.98,0.92,0.84,0.84,5,0.48,0.30,0,0,4,7
14,Cole Irvin,OAK,0.75,-1.25,2.01,7.77,0.86,0.84,0.92,0.87,1.05,5,1.18,-0.29,0,0,4,7
15,Brady Singer,KCR,0.75,-1.68,2.43,6.92,0.73,1.04,0.99,0.87,1.74,5,0.63,0.08,0,0,4,7
16,Brandon Woodruff,MIL,0.73,-1.93,2.67,7.78,0.80,1.15,1.03,0.87,1.88,5,0.71,-0.07,0,0,4,7
17,James Kaprielian,OAK,0.73,-1.49,2.22,6.56,0.73,1.05,1.04,0.87,1.31,5,0.62,0.08,0,0,4,7
18,Reid Detmers,LAA,0.71,-0.87,1.59,7.85,0.81,0.86,0.90,0.80,1.14,4,0.80,0.03,0,0,4,7
19,Shane McClanahan,TBR,0.69,-1.48,2.18,5.48,0.55,0.97,1.03,0.87,1.74,5,0.71,0.00,0,0,4,7
20,Chris Flexen,SEA,0.66,-1.36,2.02,7.13,0.76,0.94,0.86,0.86,1.21,5,0.27,0.43,0,0,4,7
21,Corbin Burnes,MIL,0.66,-1.53,2.20,7.04,0.72,0.89,0.89,0.87,1.49,5,0.67,0.08,0,0,4,7
22,Spencer Strider,ATL,0.66,-1.19,1.85,5.71,0.56,0.93,0.97,0.88,1.18,5,0.70,0.01,0,0,4,7
23,Yu Darvish,SDP,0.62,-1.67,2.29,3.64,0.41,0.90,0.95,0.87,1.34,5,0.16,0.54,0,0,4,7
24,Jordan Lyles,BAL,0.62,-2.26,2.88,3.22,0.28,1.05,0.95,0.87,1.26,6,-0.08,0.67,0,0,4,7
25,Charlie Morton,ATL,0.59,-1.54,2.13,3.42,0.32,0.88,0.88,0.87,0.95,5,0.39,0.28,0,0,4,7
26,Julio Urias,LAD,0.58,-1.26,1.84,5.37,0.52,0.83,0.86,0.89,0.77,5,0.68,0.02,0,0,4,7
27,Kutter Crawford,BOS,0.54,-1.48,2.02,6.23,0.62,0.96,1.02,0.89,1.73,5,0.80,-0.24,1,0,4,7
28,Blake Snell,SDP,0.48,-1.61,2.08,3.77,0.49,1.09,0.88,0.87,1.00,5,0.27,0.17,0,0,4,7
29,Jose Berrios,TOR,0.47,-2.38,2.85,4.58,0.50,1.05,1.02,0.87,1.82,6,0.28,0.16,0,0,4,7
30,Jose Urquidy,HOU,0.46,-1.70,2.16,5.19,0.57,0.93,0.90,0.88,0.96,5,0.74,-0.24,0,0,4,7
