#,Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,MonthSeason,MonthYear
31,Julio Urias,LAD,0.23,-2.04,2.27,2.01,0.18,0.82,0.83,0.88,0.76,6,0.05,0.23,0,0,2,2022-05-01
32,Jordan Montgomery,NYY,0.21,-1.94,2.15,3.53,0.38,0.86,0.91,0.88,1.41,6,0.44,-0.19,0,0,2,2022-05-01
33,Drew Rasmussen,TBR,0.19,-1.82,2.01,0.78,0.12,0.96,0.85,0.88,1.09,6,0.38,-0.18,0,0,2,2022-05-01
34,Tyler Anderson,LAD,0.19,-1.36,1.54,4.87,0.47,0.61,0.64,0.88,0.54,5,-0.31,0.62,0,0,2,2022-05-01
35,JT Brubaker,PIT,0.18,-1.84,2.03,0.97,0.09,0.95,0.89,0.87,1.26,5,0.12,0.08,0,0,2,2022-05-01
36,Cal Quantrill,CLE,0.17,-2.08,2.25,2.06,0.22,0.98,0.87,0.87,0.77,5,0.20,-0.03,0,0,2,2022-05-01
37,Shane Bieber,CLE,0.16,-1.93,2.09,-0.96,-0.10,1.07,0.92,0.87,0.67,4,0.04,0.11,0,0,2,2022-05-01
38,Tyler Wells,BAL,0.13,-1.60,1.73,3.75,0.38,0.80,0.83,0.88,0.52,6,0.68,-0.52,0,0,2,2022-05-01
39,Miles Mikolas,STL,0.11,-1.81,1.92,0.83,0.09,0.90,0.84,0.87,1.99,5,0.14,-0.02,0,0,2,2022-05-01
40,Kyle Wright,ATL,0.10,-1.87,1.97,1.20,0.14,0.88,0.84,0.87,1.47,5,0.47,-0.36,0,0,2,2022-05-01
41,Dylan Cease,CHW,0.08,-2.46,2.54,0.21,-0.01,1.00,0.95,0.87,0.74,6,0.04,0.04,0,0,2,2022-05-01
42,Jakob Junis,SFG,0.06,-1.53,1.59,1.26,0.13,0.83,0.81,0.87,1.15,5,0.10,-0.03,0,0,2,2022-05-01
43,Lucas Giolito,CHW,0.06,-2.22,2.27,0.62,0.08,0.99,1.01,0.89,1.06,5,-0.08,0.14,0,0,2,2022-05-01
44,Tyler Mahle,CIN,0.03,-2.30,2.34,-1.04,-0.09,0.97,0.96,0.87,1.05,6,0.13,-0.09,0,0,2,2022-05-01
45,Ian Anderson,ATL,0.00,-2.33,2.33,0.48,0.06,1.05,0.97,0.87,1.00,5,-0.16,0.16,0,0,2,2022-05-01
46,Kevin Gausman,TOR,-0.04,-2.48,2.45,4.79,0.50,0.89,0.88,0.88,0.84,6,0.35,-0.39,0,0,2,2022-05-01
47,Dane Dunning,TEX,-0.06,-2.25,2.19,-1.34,-0.14,1.03,0.87,0.88,1.17,5,-0.36,0.31,0,0,2,2022-05-01
48,Patrick Sandoval,LAA,-0.07,-2.12,2.05,-0.93,-0.09,1.15,0.94,0.88,1.52,5,0.02,-0.08,0,0,2,2022-05-01
49,Kyle Freeland,COL,-0.09,-2.34,2.25,1.58,0.17,0.86,0.75,0.88,0.88,6,0.20,-0.30,0,0,2,2022-05-01
50,Chris Bassitt,NYM,-0.10,-2.73,2.63,-2.76,-0.30,1.04,0.94,0.88,1.28,6,-0.39,0.30,0,0,2,2022-05-01
51,Walker Buehler,LAD,-0.14,-2.66,2.52,1.35,0.14,0.98,0.79,0.88,0.79,6,-0.18,0.04,0,0,2,2022-05-01
52,Ranger Suarez,PHI,-0.14,-2.37,2.23,-0.42,-0.01,1.01,0.81,0.86,1.30,6,-0.25,0.11,0,0,2,2022-05-01
53,Nathan Eovaldi,BOS,-0.24,-2.57,2.33,-5.68,-0.56,1.04,1.08,0.87,1.08,4,-0.31,0.08,0,0,2,2022-05-01
54,Logan Gilbert,SEA,-0.25,-2.33,2.08,1.97,0.20,0.90,0.77,0.87,0.44,6,0.48,-0.76,0,0,2,2022-05-01
55,Carlos Rodon,SFG,-0.27,-1.97,1.70,-3.70,-0.40,0.85,0.77,0.87,0.51,5,-0.39,0.07,0,0,2,2022-05-01
56,Humberto Castellanos,ARI,-0.32,-2.32,2.00,-2.86,-0.27,0.89,0.88,0.88,1.16,6,-0.29,-0.07,0,0,2,2022-05-01
57,Kyle Hendricks,CHC,-0.35,-2.46,2.11,-1.72,-0.13,0.98,0.91,0.89,0.74,5,-0.47,0.11,0,0,2,2022-05-01
58,Charlie Morton,ATL,-0.36,-2.57,2.21,-2.57,-0.31,0.99,0.82,0.86,1.58,6,-0.37,0.01,0,0,2,2022-05-01
59,Jordan Lyles,BAL,-0.37,-3.03,2.66,-1.59,-0.16,0.98,0.97,0.88,1.37,6,-0.13,-0.25,0,0,2,2022-05-01
60,Patrick Corbin,WSN,-0.42,-2.98,2.56,-5.03,-0.54,0.96,0.82,0.87,0.77,5,-0.61,0.18,0,0,2,2022-05-01
